an,Code_Postal,INSEE_COM,n
2004,01506,01004,1
2010,01506,01004,1
2016,01506,01004,1
2004,01300,01034,1
2010,01300,01034,1
2016,01300,01034,1
2010,01012,01053,1
2016,01012,01053,1
2004,01108,01283,1
2010,01108,01283,1
2016,01117,01283,1
2004,01440,01451,1
2004,02405,02168,1
2010,02405,02168,1
2016,02400,02168,1
2004,02303,02173,1
2010,02303,02173,1
2016,02303,02173,1
2004,02120,02361,1
2004,02500,02381,1
2004,02001,02408,1
2010,02001,02408,1
2016,02001,02408,1
2004,02109,02691,1
2004,02321,02691,1
2010,02109,02691,1
2010,02321,02691,1
2016,02315,02691,1
2016,02321,02691,1
2004,02209,02722,1
2010,02209,02722,1
2016,02209,02722,1
2004,03630,03098,1
2004,03109,03185,1
2010,03109,03185,1
2016,03109,03185,1
2004,03006,03190,1
2010,03006,03190,1
2016,03006,03190,1
2004,03201,03310,1
2010,03201,03310,1
2016,03201,03310,1
2004,04003,04070,1
2010,04003,04070,1
2016,04003,04070,1
2004,04101,04112,1
2010,04101,04112,1
2016,04101,04112,1
2016,04203,04209,1
2004,05105,05023,1
2010,05105,05023,1
2016,05105,05023,1
2004,05200,05046,1
2010,05200,05046,1
2004,05007,05061,1
2010,05007,05061,1
2016,05007,05061,1
2004,06606,06004,1
2010,06600,06004,1
2016,06600,06004,1
2004,06805,06027,1
2010,06800,06027,1
2016,06800,06027,1
2004,06400,06029,1
2004,06401,06029,1
2010,06400,06029,1
2010,06414,06029,1
2016,06400,06029,1
2016,06414,06029,1
2004,06135,06069,1
2010,06135,06069,1
2016,06135,06069,1
2016,06507,06083,1
2004,06105,06088,1
2004,06200,06088,2
2004,06202,06088,1
2010,06105,06088,1
2010,06200,06088,3
2016,06000,06088,1
2016,06004,06088,1
2016,06105,06088,1
2016,06200,06088,2
2004,07103,07010,1
2010,07103,07010,1
2016,07103,07010,1
2004,07205,07019,1
2010,07205,07019,1
2016,07205,07019,1
2004,07500,07102,1
2010,07500,07102,1
2016,07500,07102,1
2004,07000,07186,1
2010,07007,07186,1
2016,07007,07186,1
2004,07320,07204,1
2004,07301,07324,1
2016,07301,07324,1
2004,08011,08105,1
2010,08011,08105,1
2016,08011,08105,1
2004,08300,08362,1
2010,08300,08362,1
2016,08300,08362,1
2004,08209,08409,1
2010,08209,08409,1
2016,08209,08409,1
2004,09017,09122,1
2010,09017,09122,1
2016,09017,09122,1
2004,09201,09261,1
2010,09201,09261,1
2016,09190,09268,1
2004,10105,10323,1
2010,10105,10323,1
2016,10105,10323,1
2004,10003,10387,1
2004,10012,10387,1
2010,10003,10387,1
2010,10012,10387,1
2016,10003,10387,1
2016,10012,10387,1
2004,11890,11069,2
2010,11890,11069,1
2016,11010,11069,1
2016,11890,11069,1
2004,11492,11076,1
2010,11400,11076,1
2004,11108,11262,2
2010,11108,11262,2
2016,11108,11262,2
2004,12300,12089,1
2010,12300,12089,1
2016,12300,12089,1
2004,12106,12145,1
2010,12101,12145,1
2016,12101,12145,1
2004,12008,12202,1
2010,12027,12202,1
2016,12027,12202,1
2004,12400,12208,1
2010,12400,12208,1
2016,12402,12208,1
2004,12200,12300,1
2010,12200,12300,1
2016,12200,12300,1
2004,13540,13001,1
2004,13611,13001,1
2004,13616,13001,1
2010,13081,13001,1
2010,13616,13001,1
2016,13081,13001,1
2016,13100,13001,1
2016,13616,13001,1
2016,13626,13001,1
2004,13637,13004,1
2010,13637,13004,1
2016,13637,13004,1
2004,13400,13005,1
2004,13677,13005,1
2010,13400,13005,1
2010,13675,13005,1
2016,13400,13005,1
2016,13675,13005,1
2004,13708,13028,1
2010,13708,13028,1
2016,13708,13028,1
2004,13698,13056,1
2010,13698,13056,1
2016,13698,13056,1
2004,13657,13103,1
2010,13658,13103,1
2016,13658,13103,1
2004,13127,13117,1
2010,13741,13117,1
2016,13741,13117,1
2004,13385,13205,2
2010,13385,13205,1
2016,13005,13205,1
2004,13006,13206,1
2010,13006,13206,1
2016,13006,13206,1
2004,13285,13208,2
2010,13008,13208,1
2016,13008,13208,1
2004,13012,13212,1
2010,13012,13212,1
2016,13012,13212,1
2004,13015,13215,1
2010,13015,13215,1
2016,13915,13215,1
2004,14401,14047,1
2010,14401,14047,1
2016,14400,14047,1
2004,14033,14118,1
2004,14050,14118,1
2004,14052,14118,1
2010,14033,14118,1
2010,14052,14118,1
2016,14033,14118,1
2016,14052,14118,1
2004,14800,14220,1
2004,14700,14258,1
2010,14700,14258,1
2004,14601,14333,1
2010,14601,14333,1
2004,14107,14366,1
2010,14107,14366,1
2016,14107,14366,1
2004,14504,14762,1
2010,14504,14762,1
2004,15002,15014,1
2010,15002,15014,1
2016,15000,15014,1
2016,15002,15014,1
2004,15200,15120,1
2004,15102,15187,1
2010,15100,15187,1
2016,15102,15187,1
2016,16959,16015,1
2004,16300,16028,1
2004,16108,16102,1
2010,16108,16102,1
2016,16112,16102,1
2004,16340,16166,2
2004,16470,16341,1
2010,16470,16341,1
2010,16800,16374,1
2016,16800,16374,1
2004,17503,17197,1
2004,17301,17299,1
