city;lat;lon
Vendôme;47.792505;1.065290
Paris;48.831057;2.355526
Heidelberg;49.410358;8.710748
Morzine;46.183055;6.700854
Niort;46.324047;-0.462166
Veneux-les-Sablons;48.376851;2.800747
Munich;48.136283;11.582656
Nancy;48.691760;6.180820
Nantes;47.213461;-1.546704
Lyon;45.744410;4.839403
Toulouse;43.601141;1.452069
Angers;47.470507;-0.558480
Montoir-de-Bretagne;47.329234;-2.143053
Les-Eyzies-de-Tayac;44.940381;1.020551
Saint-Malo;48.645365;-2.009535
Dinard;48.632095;-2.072011
Porto;41.149977;-8.604281
Concarneau;47.870476;-3.917176
Strasbourg;48.577481;7.754894
Brest;48.386970;-4.489148
Rennes;48.103291;-1.670614
