CI;Département;Commune;Art;"Aire géographique";IDA
01001;AIN;Abergement-Clémenciat;(L');"Beurre de Bresse";2225
01001;AIN;Abergement-Clémenciat;(L');"Crème de Bresse";2339
01001;AIN;Abergement-Clémenciat;(L');"Dinde de Bresse";1498
01001;AIN;Abergement-Clémenciat;(L');"Volaille de Bresse ou poulet de Bresse, poularde de Bresse, chapon de ";1959
01002;AIN;Abergement-de-Varey;(L');Bugey;1597
01002;AIN;Abergement-de-Varey;(L');"Bugey Cerdon";1598
01002;AIN;Abergement-de-Varey;(L');Comté;1465
01002;AIN;Abergement-de-Varey;(L');"Roussette du Bugey";1884
01004;AIN;Ambérieu-en-Bugey;;Bugey;1597
01004;AIN;Ambérieu-en-Bugey;;Comté;1465
01004;AIN;Ambérieu-en-Bugey;;"Roussette du Bugey";1884
01006;AIN;Ambléon;;Bugey;1597
01006;AIN;Ambléon;;"Roussette du Bugey";1884
01007;AIN;Ambronay;;Comté;1465
01008;AIN;Ambutrix;;Comté;1465
01009;AIN;Andert-et-Condon;;Bugey;1597
01009;AIN;Andert-et-Condon;;"Roussette du Bugey";1884
01010;AIN;Anglefort;;"Bois du Jura";1739
01010;AIN;Anglefort;;Bugey;1597
01010;AIN;Anglefort;;Comté;1465
01010;AIN;Anglefort;;"Roussette du Bugey";1884
01011;AIN;Apremont;;"Bleu de Gex haut Jura ou Bleu de Septmoncel";2222
01011;AIN;Apremont;;"Bois du Jura";1739
01011;AIN;Apremont;;Comté;1465
01011;AIN;Apremont;;Morbier;2223
01012;AIN;Aranc;;"Bois du Jura";1739
01012;AIN;Aranc;;Comté;1465
01013;AIN;Arandas;;Comté;1465
01014;AIN;Arbent;;"Bois du Jura";1739
01014;AIN;Arbent;;Comté;1465
01016;AIN;Arbigny;;"Dinde de Bresse";1498
01016;AIN;Arbigny;;"Volaille de Bresse ou poulet de Bresse, poularde de Bresse, chapon de ";1959
01015;AIN;"Arboys en Bugey";;Bugey;1597
01015;AIN;"Arboys en Bugey";;"Roussette du Bugey";1884
01017;AIN;Argis;;"Bois du Jura";1739
01017;AIN;Argis;;Bugey;1597
01017;AIN;Argis;;Comté;1465
01017;AIN;Argis;;"Roussette du Bugey";1884
01019;AIN;Armix;;"Bois du Jura";1739
01022;AIN;Artemare;;"Bois du Jura";1739
01022;AIN;Artemare;;Bugey;1597
01022;AIN;Artemare;;Comté;1465
01022;AIN;Artemare;;"Roussette du Bugey";1884
01023;AIN;Asnières-sur-Saône;;"Dinde de Bresse";1498
01023;AIN;Asnières-sur-Saône;;"Volaille de Bresse ou poulet de Bresse, poularde de Bresse, chapon de ";1959
01024;AIN;Attignat;;"Beurre de Bresse";2225
01024;AIN;Attignat;;"Crème de Bresse";2339
01024;AIN;Attignat;;"Dinde de Bresse";1498
01024;AIN;Attignat;;"Volaille de Bresse ou poulet de Bresse, poularde de Bresse, chapon de ";1959
01025;AIN;Bâgé-Dommartin;;"Beurre de Bresse";2225
01025;AIN;Bâgé-Dommartin;;"Crème de Bresse";2339
01025;AIN;Bâgé-Dommartin;;"Dinde de Bresse";1498
01025;AIN;Bâgé-Dommartin;;"Volaille de Bresse ou poulet de Bresse, poularde de Bresse, chapon de ";1959
01026;AIN;Bâgé-le-Châtel;;"Beurre de Bresse";2225
01026;AIN;Bâgé-le-Châtel;;"Crème de Bresse";2339
